id,name,active,sequence,company_id/id,discount_policy,x_studio_group_type,x_studio_project_price_list,x_studio_order_payment_method
product_pricelist_jam_general_pricelist,JAM General Pricelist,1,16,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,with_discount,General,,Cash
product_pricelist_jinasena_projects_pricelist_jld,Jinasena - Projects Pricelist - JLD,1,16,,with_discount,General,1,Cash
