id,name,sequence,active,company_id/id,user_id/id,color,favorite_user_ids/id,use_opportunities,invoiced_target
crm_team_electrical_installation_division_head_of_565,Electrical installation division - Head Office,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_bhs_projects_division_head_office_564,BHS Projects division - Head Office,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_tender_sales_563,Tender sales,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_spares_store_colombo_562,Spares Store - Colombo,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_nuwara_eliya_sales_centre_561,Nuwara-Eliya Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_kurunegala_sales_centre_560,Kurunegala Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_kaduruwela_sales_centre_559,Kaduruwela Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_kandy_sales_centre_558,Kandy Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_jafna_sales_centre_557,Jafna Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_industrial_division_556,Industrial Division,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_head_office_sales_555,Head Office Sales,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_galle_sales_centre_554,Galle Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_embilipitiya_sales_centre_553,Embilipitiya Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_ekala_sales_centre_552,Ekala Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_dambulla_sales_centre_551,Dambulla Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_colombo_sales_centre_550,Colombo Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,__export__.res_users_24_a6d61d09,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_buttala_sales_centre_549,Buttala Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_beruwala_sales_centre_548,Beruwala Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_avissawella_sales_centre_547,Avissawella Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_anuradhapura_sales_centre_546,Anuradhapura Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_ampara_sales_centre_545,Ampara Sales Centre,0,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
crm_team_jam_factory_ekala,JAM Factory - EKALA,10,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,,0,__export__.res_users_24_a6d61d09,1,0.0
